Date,Barrage,Capacite Normale (Mm3),Reserve (Mm3),Taux de Remplissage (%)
2026-03-06,Sidi Mohammed Ben Abdellah,974.788,933.936,95.8091
2026-03-06,Tamesna,57,47.348,83.0667
2026-03-06,El Mellah,35,33.709,96.3114
2026-03-06,El Himer,14,3.113,22.2357
2026-03-06,Maazer,13,2.342,18.0154
2026-03-06,O. Hassar,2.24,-,-
2026-03-06,Ain Kouachia,11,10.155,92.3182
2026-03-06,Zamrine,0.496,0.001,0.201613
2026-03-06,Réserve totale,,1030.6039,
2026-03-05,Sidi Mohammed Ben Abdellah,974.788,934.384,95.8551
2026-03-05,Tamesna,57,47.318,83.014
2026-03-05,El Mellah,35,33.709,96.3114
2026-03-05,El Himer,14,3.101,22.15
2026-03-05,Maazer,13,2.342,18.0154
2026-03-05,O. Hassar,2.24,-,-
2026-03-05,Ain Kouachia,11,-,-
2026-03-05,Zamrine,0.496,0.001,0.201613
2026-03-05,Réserve totale,,1020.8549,
2026-03-04,Sidi Mohammed Ben Abdellah,974.788,934.832,95.9011
2026-03-04,Tamesna,57,47.318,83.014
2026-03-04,El Mellah,35,33.709,96.3114
2026-03-04,El Himer,14,3.7,26.4286
2026-03-04,Maazer,13,2.347,18.0538
2026-03-04,O. Hassar,2.24,-,-
2026-03-04,Ain Kouachia,11,10.126,92.0545
2026-03-04,Zamrine,0.496,0.001,0.201613
2026-03-04,Réserve totale,,1032.033,
2026-03-03,Sidi Mohammed Ben Abdellah,974.788,934.384,95.8551
2026-03-03,Tamesna,57,47.318,83.014
2026-03-03,El Mellah,35,33.709,96.3114
2026-03-03,El Himer,14,3.057,21.8357
2026-03-03,Maazer,13,2.351,18.0846
2026-03-03,O. Hassar,2.24,-,-
2026-03-03,Ain Kouachia,11,10.097,91.7909
2026-03-03,Zamrine,0.496,0.001,0.201613
2026-03-03,Réserve totale,,1030.917,
2026-03-02,Sidi Mohammed Ben Abdellah,974.788,934.384,95.8551
2026-03-02,Tamesna,57,47.318,83.014
2026-03-02,El Mellah,35,33.656,96.16
2026-03-02,El Himer,14,3.051,21.7929
2026-03-02,Maazer,13,2.355,18.1154
2026-03-02,O. Hassar,2.24,-,-
2026-03-02,Ain Kouachia,11,10.068,91.5273
2026-03-02,Zamrine,0.496,0.001,0.201613
2026-03-02,Réserve totale,,1030.833,
2026-03-01,Sidi Mohammed Ben Abdellah,974.788,934.832,95.9011
2026-03-01,Tamesna,57,47.348,83.0667
2026-03-01,El Mellah,35,33.656,96.16
2026-03-01,El Himer,14,3.051,21.7929
2026-03-01,Maazer,13,2.364,18.1846
2026-03-01,O. Hassar,2.24,-,-
2026-03-01,Ain Kouachia,11,10.068,91.5273
2026-03-01,Zamrine,0.496,0.001,0.201613
2026-03-01,Réserve totale,,1031.3201,
2026-02-28,Sidi Mohammed Ben Abdellah,974.788,935.281,95.9471
2026-02-28,Tamesna,57,47.348,83.0667
2026-02-28,El Mellah,35,33.656,96.16
2026-02-28,El Himer,14,3.051,21.7929
2026-02-28,Maazer,13,2.373,18.2538
2026-02-28,O. Hassar,2.24,-,-
2026-02-28,Ain Kouachia,11,10.068,91.5273
2026-02-28,Zamrine,0.496,0.001,0.201613
2026-02-28,Réserve totale,,1031.7781,
2026-02-27,Sidi Mohammed Ben Abdellah,974.788,935.281,95.9471
2026-02-27,Tamesna,57,47.348,83.0667
2026-02-27,El Mellah,35,33.656,96.16
2026-02-27,El Himer,14,3.045,21.75
2026-02-27,Maazer,13,2.378,18.2923
2026-02-27,O. Hassar,2.24,-,-
2026-02-27,Ain Kouachia,11,10.038,91.2545
2026-02-27,Zamrine,0.496,0.001,0.201613
2026-02-27,Réserve totale,,1031.747,
2026-02-26,Sidi Mohammed Ben Abdellah,974.788,935.729,95.9931
2026-02-26,Tamesna,57,47.378,83.1193
2026-02-26,El Mellah,35,33.656,96.16
2026-02-26,El Himer,14,3.039,21.7071
2026-02-26,Maazer,13,2.382,18.3231
2026-02-26,O. Hassar,2.24,-,-
2026-02-26,Ain Kouachia,11,10.024,91.1273
2026-02-26,Zamrine,0.496,0,0
2026-02-26,Réserve totale,,1032.208,
2026-02-25,Sidi Mohammed Ben Abdellah,974.788,936.178,96.0391
2026-02-25,Tamesna,57,47.378,83.1193
2026-02-25,El Mellah,35,33.656,96.16
2026-02-25,El Himer,14,3.033,21.6643
2026-02-25,Maazer,13,2.387,18.3615
2026-02-25,O. Hassar,2.24,-,-
2026-02-25,Ain Kouachia,11,10.08,91.6364
2026-02-25,Zamrine,0.496,0,0
2026-02-25,Réserve totale,,1032.712,
2026-02-24,Sidi Mohammed Ben Abdellah,974.788,935.729,95.9931
2026-02-24,Tamesna,57,47.378,83.1193
2026-02-24,El Mellah,35,33.656,96.16
2026-02-24,El Himer,14,3.027,21.6214
2026-02-24,Maazer,13,2.391,18.3923
2026-02-24,O. Hassar,2.24,-,-
2026-02-24,Ain Kouachia,11,10.36,94.1818
2026-02-24,Zamrine,0.496,0,0
2026-02-24,Réserve totale,,1032.541,
2026-02-23,Sidi Mohammed Ben Abdellah,974.788,935.729,95.9931
2026-02-23,Tamesna,57,47.378,83.1193
2026-02-23,El Mellah,35,33.656,96.16
2026-02-23,El Himer,14,3.021,21.5786
2026-02-23,Maazer,13,2.391,18.3923
2026-02-23,O. Hassar,2.24,-,-
2026-02-23,Ain Kouachia,11,10.64,96.7273
2026-02-23,Zamrine,0.496,0,0
2026-02-23,Réserve totale,,1032.815,
2026-02-22,Sidi Mohammed Ben Abdellah,974.788,935.281,95.9471
2026-02-22,Tamesna,57,47.348,83.0667
2026-02-22,El Mellah,35,33.656,96.16
2026-02-22,El Himer,14,3.014,21.5286
2026-02-22,Maazer,13,2.4,18.4615
2026-02-22,O. Hassar,2.24,-,-
2026-02-22,Ain Kouachia,11,10.93,99.3636
2026-02-22,Zamrine,0.496,0,0
2026-02-22,Réserve totale,,1032.629,
2026-02-21,Sidi Mohammed Ben Abdellah,974.788,934.832,95.9011
2026-02-21,Tamesna,57,47.318,83.014
