date,dam_id,day_of_year,month,month_sin,month_cos,temp_mean,temp_max,temp_min,precip_mm,et0_mm,wind_kmh,population,irrigation_area_ha,catchment_area_km2,irrigation_season_flag,is_ramadan,fill_ratio,inflow_m3,evap_m3,pop_m3,industry_m3,agri_m3,total_demand_m3,demand_lag_1d,fill_lag_1d,demand_lag_7d,fill_lag_7d,demand_lag_14d,fill_lag_14d,demand_lag_30d,fill_lag_30d
2024-01-01,dam_smba,1,1,0.49999999999999994,0.8660254037844387,13.8,20.3,7.2,2.2,0.5,10.5,2500000,5000,9800,0,0,0.598,6500212.0,2884.0,274085.0,62613.0,4496.0,341194.0,341194.0,0.598,341194.0,0.598,341194.0,0.598,341194.0,0.598
2024-01-02,dam_smba,2,1,0.49999999999999994,0.8660254037844387,12.6,15.7,8.0,0.0,0.5,13.6,2500000,5000,9800,0,0,0.5977,0.0,2915.0,285011.0,58001.0,3985.0,346997.0,341194.0,0.598,341194.0,0.598,341194.0,0.598,341194.0,0.598
2024-01-03,dam_smba,3,1,0.49999999999999994,0.8660254037844387,14.2,17.5,11.1,0.0,0.5,9.7,2500000,5000,9800,0,0,0.5973,0.0,2913.0,281559.0,59262.0,3445.0,344266.0,346997.0,0.5977,341194.0,0.598,341194.0,0.598,341194.0,0.598
2024-01-04,dam_smba,4,1,0.49999999999999994,0.8660254037844387,12.0,17.8,7.2,5.2,0.5,11.4,2500000,5000,9800,0,0,0.6109,13636010.0,2911.0,287291.0,60252.0,4216.0,351759.0,344266.0,0.5973,341194.0,0.598,341194.0,0.598,341194.0,0.598
2024-01-05,dam_smba,5,1,0.49999999999999994,0.8660254037844387,14.3,18.3,10.7,10.1,0.5,12.3,2500000,5000,9800,0,0,0.6401,28749936.0,2978.0,279033.0,58987.0,2901.0,340922.0,351759.0,0.6109,341194.0,0.598,341194.0,0.598,341194.0,0.598
2024-01-06,dam_smba,6,1,0.49999999999999994,0.8660254037844387,15.8,19.3,12.3,0.0,0.5,12.1,2500000,5000,9800,0,0,0.6397,0.0,3120.0,258057.0,63942.0,4155.0,326154.0,340922.0,0.6401,341194.0,0.598,341194.0,0.598,341194.0,0.598
2024-01-07,dam_smba,7,1,0.49999999999999994,0.8660254037844387,12.3,17.3,7.6,0.0,0.5,12.6,2500000,5000,9800,0,0,0.6394,0.0,3118.0,281960.0,70060.0,3608.0,355628.0,326154.0,0.6397,341194.0,0.598,341194.0,0.598,341194.0,0.598
2024-01-08,dam_smba,8,1,0.49999999999999994,0.8660254037844387,13.8,17.1,8.8,0.0,0.5,8.8,2500000,5000,9800,0,0,0.639,0.0,3116.0,282795.0,65451.0,4757.0,353004.0,355628.0,0.6394,341194.0,0.598,341194.0,0.598,341194.0,0.598
2024-01-09,dam_smba,9,1,0.49999999999999994,0.8660254037844387,13.2,16.4,8.6,0.0,0.5,11.3,2500000,5000,9800,0,0,0.6387,0.0,3114.0,273234.0,57048.0,4441.0,334723.0,353004.0,0.639,346997.0,0.5977,341194.0,0.598,341194.0,0.598
2024-01-10,dam_smba,10,1,0.49999999999999994,0.8660254037844387,15.0,19.6,11.1,0.0,0.5,10.3,2500000,5000,9800,0,0,0.6383,0.0,3113.0,281883.0,69939.0,3641.0,355463.0,334723.0,0.6387,344266.0,0.5973,341194.0,0.598,341194.0,0.598
